SNName,TNSName,DiscDate,RA,Dec,Redshift,PeakMag,PeakMagV,PeakMagg,Offset,Type,HostName,DiscoveredBy,Recovered
2018ebs,2018ebs,2018/07/16.608,'21:39:37.620,+08:56:39.78,0.03,16.9,---,16.74,11.2,Ia,WISEA J213938.36+085641.0,ATLAS,Yes
2018ebt,2018ebt,2018/07/20.728,'20:41:54.990,+64:12:52.65,0.03,15,15.208,15.374,14.7,Ic-BL,WISEA J204153.06+641245.0,ATLAS,Yes
2018ec,2018ec,2018/01/03.400,'10:27:50.770,-43:54:06.30,0.009,15.1,---,---,9.012666839,Ic,NGC 3256,SUNBIRD,No
2018ecd,2018ecd,2018/07/22.257,'13:19:36.730,-29:07:16.61,0.05,18,---,17.18,17.1,Ia,2MFGC 10654,ATLAS,No
2018ecf,2018ecf,2018/07/23.493,'14:06:34.400,-34:18:03.76,0.012,16.5,---,16.81,40.37575474,II,ESO 384- G 053,Greg Bock,No
2018ecj,2018ecj,2018/07/23.285,'11:32:42.940,+62:25:57.31,0.01312,18,---,---,7.1,II,CGCG 314-031,ATLAS,No
2018edd,2018edd,2018/07/23.328,'14:53:32.290,+03:04:13.94,0.03,16.3,16.977,17.4,26.14151995,Ia,IC 1068,ATLAS,Yes
2018edz,2018edz,2018/07/25.364,'16:01:05.440,+11:56:39.17,0.045,17.5,---,---,22.45370876,Ia,CGCG 079-020,ATLAS,No
2018efm,2018efm,2018/07/28.244,'13:32:50.510,+07:18:39.27,0.03,15.8,---,16.53,31.08,Ia,WISEA J133250.99+071811.2,ATLAS,Yes
2018efn,2018efn,2018/07/26.281,'14:45:09.720,+09:16:25.55,0.024,17.7,---,---,3.3,Ia-91bg,CGCG 076-016,ATLAS,No
2018elp,2018elp,2018/07/30.251,'14:31:19.130,+21:17:24.88,0.03,18,---,17.814,11,II,WISEA J143118.57+211734.0,ATLAS,No
2018eml,2018eml,2018/07/31.172,'15:46:07.110,+29:44:00.49,0.03164,16.4,---,16.59,5.4,Ia,WISEA J154607.50+294359.2,ZTF,Yes
2018emy,2018emy,2018/08/01.163,'14:45:30.390,+17:15:29.60,0.04,17.1,---,17.299,1.08,Ia,SDSS J144530.46+171529.6,ZTF,Yes
2018enb,2018enb,2018/08/02.663,'21:39:34.570,+08:52:47.30,0.028,16.7,---,17.621,10.3496787,Ia,NGC 7101,Koichi Itagaki,Yes
2018enc,2018enc,2018/08/02.326,'15:19:28.630,-09:52:50.03,0.017,16.2,15.744,15.71,7.5,Ia,WISEA J151928.86-095256.6,ATLAS,Yes
2018eod,2018eod,2018/08/03.514,'20:53:19.670,-33:25:24.86,0.054,17.7,---,17.84,3.9,Ia,WISEA J205319.77-332522.4,ATLAS,Yes
2018eoe,2018eoe,2018/08/03.548,'22:24:24.360,+18:04:18.76,0.020457,17.3,---,17.629,14.49516966,Ib,VV 483,ATLAS,Yes
