HostName,Redshift,SNName,Type,Offset,Av,NUVmag,,umag,,gmag,,rmag,,imag,,zmag,,ymag,,Jmag,,Hmag,,Kmag,,W1mag,,W2mag,
SDSS J145650.75+500400.7,0.072313,ASASSN-18fo,Unk,4.58,0.009,19.7996,0.0874,19.235,0.033,18.16650009,0.006394,17.83950043,0.006048,17.60230064,0.005482,17.48670006,0.011136,17.55050087,0.022324,---,---,---,---,---,---,15.362,0.033,15.116,0.056
2MASX J06270377-2538204,0.024227,ASASSN-18ft,Ia,2.74,0.509,---,---,---,---,15.22869968,0.00216,14.66329956,0.001357,14.30500031,0.000997,15.75329971,0.002146,14.82839966,0.004877,12.556,0.047,11.937,0.059,11.602,0.08,11.867,0.024,11.732,0.022
2MASX J08170689+5600187,0.030218,ASASSN-18fw,Ia,0.16,0.133,21.7534,0.4659,18.29,0.028,16.71710014,0.002338,16.04969978,0.001656,15.69610023,0.001086,15.4460001,0.00254,15.23219967,0.004958,14.354,0.051,13.666,0.056,13.379,0.087,13.35,0.025,13.307,0.029
2MASX J10295135+0900385,0.047931,ASASSN-18ga,Ic,9.88,0.045,---,---,17.606,0.023,16.21269989,0.002601,15.48630047,0.00138,15.13589954,0.00181,15.02130032,0.001905,14.79279995,0.003492,13.857,0.067,13.144,0.077,12.721,0.104,12.999,0.025,12.952,0.035
SDSS J143319.96+411556.8,0.018199,ASASSN-18ge,Ib,4.78,0.016,18.6521,0.0754,18.398,0.047,17.59160042,0.008306,17.25729942,0.007677,16.71579933,0.005359,16.95969963,0.008217,17.85199928,0.022985,---,---,---,---,---,---,15.958,0.046,15.914,0.126
2MASX J15015731+2546168,0.044563,ASASSN-18gf,Ia,0.6,0.065,19.7985,0.0749,18.351,0.022,16.82239914,0.002631,16.11269951,0.00161,15.73770046,0.00099,15.51780033,0.001792,15.28880024,0.003643,14.125,0.055,13.496,0.067,13.086,0.09,12.993,0.023,12.93,0.025
GALEXASC J105800.28+722628.0,---,ASASSN-18gg,II,2.64,0.105,21.2394,0.3507,---,---,18.61899948,0.014522,18.0442009,0.011526,17.79360008,0.00964,17.82290077,0.017890001,18.22089958,0.039510999,---,---,---,---,---,---,16.312,0.051,16.365,0.15
CGCG 271-025,0.029709,ASASSN-18gi,Ia,8.05,0,19.8342,0.1212,16.787,0.011,14.83339977,0.000906,14.10499954,0.000828,13.74040031,0.000479,13.51270008,0.000872,13.26920033,0.001557,12.287,0.031,11.64,0.051,11.319,0.058,11.549,0.023,11.62,0.021
WISEA J133735.98-315758.5,'---,ASASSN-18gk,Ia-SC,6.7,0.177,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,16.411,0.07,16.783,---
SDSS J155003.56+420518.3,---,ASASSN-18gs,Ia,0.24,0.045,---,---,22.782,0.461,21.67280006,0.085805997,21.26420021,0.064862996,20.75049973,0.047534999,20.7845993,0.075335003,20.47060013,0.210626006,---,---,---,---,---,---,---,---,---,---
ESO 268-G 037,0.016254,ASASSN-18gt,Ia-91T,4.06,0.389,---,---,---,---,---,---,---,---,---,---,---,---,---,---,12.275,0.042,11.566,0.057,11.311,0.084,12.119,0.023,12.048,0.022
CGCG 062-004,0.02883,ASASSN-18gu,Ia,2.4,0.133,20.616,0.205,17.018,0.013,15.17230034,0.001275,14.50689983,0.000692,14.07390022,0.000637,13.84879971,0.001042,13.61050034,0.002064,12.613,0.029,12.002,0.046,11.681,0.056,11.846,0.023,11.928,0.021
WISEA J083030.85-671444.2,'---,ASASSN-18gw,Unk,9.3,0.621,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,16.985,0.054,17.613,0.296
2MASX J14355382+3517148,0.044473,ASASSN-18gz,Ia,1.28,0,21.4917,0.2,18.335,0.019,16.58429909,0.002247,15.88609982,0.001361,15.51650047,0.000897,15.32870007,0.001368,15.08650017,0.002681,14.051,0.044,13.413,0.062,13.034,0.061,12.984,0.024,12.969,0.024
