SNName,TNSName,DiscDate,RA,Dec,Redshift,DiscMag,PeakMagV,PeakMagg,Offset,Type,DiscAge,HostName,DiscAtel,ClassAtel
ASASSN-18ff,SN 2018agb,2018-03-13.13,'04:57:31.62,'-50:10:26.80,0.042006,17.7,---,16.55,9.13,Ia,19,ESO 203- G 013,,
ASASSN-18fm,AT 2018ahv,2018-03-16.38,'14:48:15.88,'+26:17:04.63,0.051622,18.4,---,16.86,0.26,Ia,-31,2MASX J14481584+2617048,,
ASASSN-18fn,SN 2018ais,2018-03-17.93,'11:38:47.17,'-33:10:05.23,0.035658,17.5,---,16.39,1.09,Ia,16,2MASX J11384720-3310063,,
ASASSN-18fo,AT 2018ait,2018-03-16.29,'14:56:51.22,'+50:04:00.12,0.072351,18,---,16.12,4.58,Unk,43,SDSS J145650.75+500400.7,,
ASASSN-18ft,SN 2018ajp,2018-03-18.82,'06:27:03.79,'-25:38:23.24,0.024227,17.3,---,16.17,2.74,Ia,10,2MASX J06270377-2538204,,
ASASSN-18fw,SN 2018aki,2018-03-21.15,'08:17:06.91,'+56:00:19.01,0.030211,17.3,---,16.36,0.16,Ia,8,2MASX J08170689+5600187,,
ASASSN-18ga,SN 2018aks,2018-03-22.26,'10:29:51.63,'+09:00:46.84,0.04797,18,---,17.38,9.88,Ic,12,2MASX J10295135+0900385,,
ASASSN-18ge,SN 2018alc,2018-03-24.24,'14:33:19.87,'+41:16:01.49,0.01814,17.3,---,16.61,4.78,Ib,10,SDSS J143319.96+411556.8,,
ASASSN-18gf,SN 2018aly,2018-03-24.26,'15:01:57.29,'+25:46:16.32,0.044604,17.8,---,16.89,0.6,Ia,6,2MASX J15015731+2546168,,
ASASSN-18gg,SN 2018amc,2018-03-23.26,'10:58:00.78,'+72:26:26.56,0.01,17.1,---,16.82,2.64,II,6,GALEXASC J105800.28+722628.0,,
ASASSN-18gi,SN 2018amo,2018-03-26.27,'13:14:25.41,'+50:58:40.12,0.029664,17.5,---,15.84,8.05,Ia,12,CGCG 271-025,,
